P( a | a ) = 0.794871794872
P( b | a ) = 0.000100948919847
P( c | a ) = 0.000100948919847
P( d | a ) = 0.000100948919847
P( e | a ) = 0.000100948919847
P( f | a ) = 0.000100948919847
P( g | a ) = 0.000100948919847
P( h | a ) = 0.000100948919847
P( i | a ) = 0.000100948919847
P( j | a ) = 0.000100948919847
P( k | a ) = 0.000100948919847
P( l | a ) = 0.000100948919847
P( m | a ) = 0.000100948919847
P( n | a ) = 0.000100948919847
P( o | a ) = 0.000100948919847
P( p | a ) = 0.000100948919847
P( q | a ) = 0.0682414698163
P( r | a ) = 0.000100948919847
P( s | a ) = 0.0688471633354
P( t | a ) = 0.000100948919847
P( u | a ) = 0.000100948919847
P( v | a ) = 0.000100948919847
P( w | a ) = 0.000100948919847
P( x | a ) = 0.000100948919847
P( y | a ) = 0.000100948919847
P( z | a ) = 0.06581869574
P( a | b ) = 0.000506842372022
P( b | b ) = 0.799290420679
P( c | b ) = 0.000506842372022
P( d | b ) = 0.000506842372022
P( e | b ) = 0.000506842372022
P( f | b ) = 0.000506842372022
P( g | b ) = 0.046122655854
P( h | b ) = 0.0435884439939
P( i | b ) = 0.000506842372022
P( j | b ) = 0.000506842372022
P( k | b ) = 0.000506842372022
P( l | b ) = 0.000506842372022
P( m | b ) = 0.000506842372022
P( n | b ) = 0.0532184490623
P( o | b ) = 0.000506842372022
P( p | b ) = 0.000506842372022
P( q | b ) = 0.000506842372022
P( r | b ) = 0.000506842372022
P( s | b ) = 0.000506842372022
P( t | b ) = 0.000506842372022
P( u | b ) = 0.000506842372022
P( v | b ) = 0.0471363405981
P( w | b ) = 0.000506842372022
P( x | b ) = 0.000506842372022
P( y | b ) = 0.000506842372022
P( z | b ) = 0.000506842372022
P( a | c ) = 0.00022040996253
P( b | c ) = 0.00022040996253
P( c | c ) = 0.793696275072
P( d | c ) = 0.0449636323562
P( e | c ) = 0.00022040996253
P( f | c ) = 0.0528983910073
P( g | c ) = 0.00022040996253
P( h | c ) = 0.00022040996253
P( i | c ) = 0.00022040996253
P( j | c ) = 0.00022040996253
P( k | c ) = 0.00022040996253
P( l | c ) = 0.00022040996253
P( m | c ) = 0.00022040996253
P( n | c ) = 0.00022040996253
P( o | c ) = 0.00022040996253
P( p | c ) = 0.00022040996253
P( q | c ) = 0.00022040996253
P( r | c ) = 0.00022040996253
P( s | c ) = 0.00022040996253
P( t | c ) = 0.00022040996253
P( u | c ) = 0.00022040996253
P( v | c ) = 0.0537800308574
P( w | c ) = 0.00022040996253
P( x | c ) = 0.0500330614944
P( y | c ) = 0.00022040996253
P( z | c ) = 0.00022040996253
P( a | d ) = 0.000233045910044
P( b | d ) = 0.000233045910044
P( c | d ) = 0.0410160801678
P( d | d ) = 0.801211838732
P( e | d ) = 0.0405499883477
P( f | d ) = 0.0337916569564
P( g | d ) = 0.000233045910044
P( h | d ) = 0.000233045910044
P( i | d ) = 0.000233045910044
P( j | d ) = 0.000233045910044
P( k | d ) = 0.000233045910044
P( l | d ) = 0.000233045910044
P( m | d ) = 0.000233045910044
P( n | d ) = 0.000233045910044
P( o | d ) = 0.000233045910044
P( p | d ) = 0.000233045910044
P( q | d ) = 0.000233045910044
P( r | d ) = 0.000233045910044
P( s | d ) = 0.0405499883477
P( t | d ) = 0.000233045910044
P( u | d ) = 0.000233045910044
P( v | d ) = 0.000233045910044
P( w | d ) = 0.000233045910044
P( x | d ) = 0.0382195292473
P( y | d ) = 0.000233045910044
